!Agilent Technologies,E4990A,MY54100995,A.02.20
!Date: Thu Mar 12 12:51:29 2026

BEGIN CH1_DATA
DCV(V), +2.505e-001, DCI(A), +3.642e-006
Frequency(Hz), Cp(F)-data, D()-data, |Z|(Ohm)-data, theta-z(deg)-data
+1.00000000000e+003, +6.07140995588e-011, +7.90405591864e-002, +2.61323331041e+006, -8.54807052162e+001
+1.08423300000e+003, +6.04347221463e-011, +7.50903644839e-002, +2.42208857491e+006, -8.57056981629e+001
+1.17556000000e+003, +5.95940756772e-011, +7.45130907414e-002, +2.26553060231e+006, -8.57385894744e+001
+1.27458100000e+003, +6.05483404124e-011, +7.56861878670e-002, +2.05641181627e+006, -8.56717529228e+001
+1.38194200000e+003, +5.87316569699e-011, +7.71711348499e-002, +1.95509876895e+006, -8.55871658450e+001
+1.49834600000e+003, +5.78206136205e-011, +1.11062716009e-001, +1.82584208055e+006, -8.36625472887e+001
+1.62455600000e+003, +6.01132451733e-011, +6.01030434296e-002, +1.62679289671e+006, -8.65604868982e+001
+1.76139600000e+003, +5.73351664067e-011, +5.98671336063e-002, +1.57313201026e+006, -8.65739550740e+001
+1.90976300000e+003, +5.83183190430e-011, +5.95635011502e-002, +1.42648308181e+006, -8.65912901168e+001
+2.07062700000e+003, +5.77018501607e-011, +6.00154082801e-002, +1.32968201260e+006, -8.65654899757e+001
+2.24504100000e+003, +5.78791020278e-011, +6.55166940110e-002, +1.22220476966e+006, -8.62515271815e+001
+2.43414700000e+003, +5.86351356214e-011, +4.98702207627e-002, +1.11371998378e+006, -8.71450120813e+001
+2.63918100000e+003, +5.76177503598e-011, +7.18451331420e-002, +1.04394276071e+006, -8.58906378497e+001
+2.86148600000e+003, +5.76109246388e-011, +5.54079290115e-002, +9.63957821310e+005, -8.68286023012e+001
+3.10251700000e+003, +5.77482731762e-011, +5.98237156139e-002, +8.86729595337e+005, -8.65764338640e+001
+3.36384900000e+003, +5.69895117178e-011, +5.90000651789e-002, +8.28770195669e+005, -8.66234595651e+001
+3.64719500000e+003, +5.69148702686e-011, +5.84276630481e-002, +7.65412172368e+005, -8.66561431199e+001
+3.95440800000e+003, +5.67394404171e-011, +5.91647723933e-002, +7.08100363092e+005, -8.66140553644e+001
+4.28749700000e+003, +5.69191913364e-011, +6.20894855608e-002, +6.50911681105e+005, -8.64470954469e+001
+4.64864400000e+003, +5.66285151028e-011, +5.91358720233e-002, +6.03532440599e+005, -8.66157054603e+001
+5.04021100000e+003, +5.63884404813e-011, +6.38319314956e-002, +5.58853992654e+005, -8.63476548611e+001
+5.46476100000e+003, +5.64156373242e-011, +5.72060193286e-002, +5.15394761049e+005, -8.67259049416e+001
+5.92507200000e+003, +5.60855230309e-011, +5.78555971547e-002, +4.78134507682e+005, -8.66888096527e+001
+6.42415600000e+003, +5.60302864934e-011, +6.13190220914e-002, +4.41332858033e+005, -8.64910723116e+001
+6.96527900000e+003, +5.55616825514e-011, +6.28447368291e-002, +4.10440587184e+005, -8.64039909386e+001
+7.55198200000e+003, +5.53535389011e-011, +6.19766355989e-002, +3.79997996262e+005, -8.64535364876e+001
+8.18810400000e+003, +5.54122192154e-011, +6.42204181122e-002, +3.50055985097e+005, -8.63254870913e+001
+8.87780900000e+003, +5.52649200074e-011, +6.26088496893e-002, +3.23754090346e+005, -8.64174533064e+001
+9.62560900000e+003, +5.50601638092e-011, +6.33801794463e-002, +2.99698019392e+005, -8.63734340508e+001
+1.04363990000e+004, +5.48824123000e-011, +6.29387549702e-002, +2.77317822692e+005, -8.63986253189e+001
+1.13154830000e+004, +5.48006032342e-011, +6.63726821650e-002, +2.56098592152e+005, -8.62026950323e+001
+1.22686150000e+004, +5.33497576812e-011, +6.38167185772e-002, +2.42666368038e+005, -8.63485229609e+001
+1.33020320000e+004, +5.30028239577e-011, +6.41301178084e-002, +2.25274435579e+005, -8.63306396968e+001
+1.44224960000e+004, +5.27131411117e-011, +6.45342532644e-002, +2.08909572218e+005, -8.63075798772e+001
+1.56373390000e+004, +5.25290730070e-011, +6.38523456401e-002, +1.93363281491e+005, -8.63464899647e+001
+1.69545120000e+004, +5.22209915710e-011, +6.37190715750e-002, +1.79394805977e+005, -8.63540950639e+001
+1.83826340000e+004, +5.20697938017e-011, +6.44101740611e-002, +1.65930997719e+005, -8.63146596635e+001
+1.99310490000e+004, +5.18189279014e-011, +6.50786355340e-002, +1.53774323491e+005, -8.62765195211e+001
+2.16098920000e+004, +5.16905137478e-011, +6.73558793033e-002, +1.42158802966e+005, -8.61466127249e+001
+2.34301480000e+004, +5.15347139625e-011, +6.84489073347e-002, +1.31501351431e+005, -8.60842742640e+001
+2.54037290000e+004, +5.13460627273e-011, +6.81255471783e-002, +1.21733482123e+005, -8.61027154422e+001
+2.75435500000e+004, +5.10833053194e-011, +6.96656542579e-002, +1.12841771289e+005, -8.60148906929e+001
+2.98636130000e+004, +5.08945884430e-011, +6.97238834850e-002, +1.04460737970e+005, -8.60115705311e+001
+3.23791010000e+004, +5.07383610532e-011, +7.13317550506e-002, +9.66310768456e+004, -8.59199022696e+001
+3.51064750000e+004, +5.05623798842e-011, +7.24545403701e-002, +8.94269527321e+004, -8.58559022084e+001
+3.80635830000e+004, +5.03376414166e-011, +7.28434375571e-002, +8.28454056578e+004, -8.58337370262e+001
+4.12697750000e+004, +5.02195683592e-011, +7.44209284811e-002, +7.65800611219e+004, -8.57438408622e+001
+4.47460330000e+004, +5.00001008866e-011, +7.53421925601e-002, +7.09358166830e+004, -8.56913506479e+001
+4.85151050000e+004, +4.98275352283e-011, +7.66464572400e-002, +6.56450242606e+004, -8.56170508880e+001
+5.26016550000e+004, +4.96509202175e-011, +7.77484117918e-002, +6.07553822227e+004, -8.55542875836e+001
+5.70324260000e+004, +4.94831019750e-011, +7.85034171331e-002, +5.62221233936e+004, -8.55112914000e+001
+6.18364120000e+004, +4.92860245762e-011, +8.05177080541e-002, +5.20533658019e+004, -8.53966061017e+001
+6.70450500000e+004, +4.90675335966e-011, +8.14658111282e-002, +4.82195117811e+004, -8.53426378149e+001
+7.26924250000e+004, +4.89376854390e-011, +8.28827985733e-002, +4.45862497323e+004, -8.52619949779e+001
+7.88154920000e+004, +4.87248476771e-011, +8.40622020254e-002, +4.12979967564e+004, -8.51948877257e+001
+8.54543220000e+004, +4.85552047042e-011, +8.59395033287e-002, +3.82166346512e+004, -8.50880978867e+001
+9.26523560000e+004, +4.84029436530e-011, +8.80950323990e-002, +3.53519336644e+004, -8.49655233494e+001
+1.00456699000e+005, +4.82176630403e-011, +8.97769447867e-002, +3.27259227804e+004, -8.48699131295e+001
+1.08918422000e+005, +4.80254888936e-011, +9.19074859572e-002, +3.02984533923e+004, -8.47488412788e+001
+1.18092897000e+005, +4.78574520362e-011, +9.44320503114e-002, +2.80361886509e+004, -8.46054392859e+001
+1.28040162000e+005, +4.76688053275e-011, +9.74803021604e-002, +2.59529045207e+004, -8.44323808995e+001
+1.38825310000e+005, +4.74872997498e-011, +9.95883713949e-002, +2.40232069034e+004, -8.43127588840e+001
+1.50518918000e+005, +4.73042631309e-011, +1.02842526986e-001, +2.22353590309e+004, -8.41282003810e+001
+1.63197509000e+005, +4.71273766051e-011, +1.05908394618e-001, +2.05783831234e+004, -8.39544323060e+001
+1.76944050000e+005, +4.69516460062e-011, +1.09165405687e-001, +1.90441187841e+004, -8.37699528283e+001
+1.91848496000e+005, +4.67674308691e-011, +1.13248528235e-001, +1.76258863024e+004, -8.35388653014e+001
+2.08008382000e+005, +4.65769065086e-011, +1.16560067516e-001, +1.63169243510e+004, -8.33516006934e+001
+2.25529457000e+005, +4.64011044988e-011, +1.22184133507e-001, +1.50963068956e+004, -8.30338934708e+001
+2.44526375000e+005, +4.62246329185e-011, +1.26763451875e-001, +1.39688082593e+004, -8.27755214246e+001
+2.65123453000e+005, +4.60017269222e-011, +1.32347712305e-001, +1.29368112824e+004, -8.24608492953e+001
+2.87455475000e+005, +4.58110833458e-011, +1.37261222405e-001, +1.19736305578e+004, -8.21843510148e+001
+3.11668579000e+005, +4.56278487986e-011, +1.43820420812e-001, +1.10777458426e+004, -8.18158170290e+001
+3.37921215000e+005, +4.54193514071e-011, +1.50971628132e-001, +1.02534493967e+004, -8.14147969910e+001
+3.66385177000e+005, +4.52089878615e-011, +1.58217521746e-001, +9.49048866072e+003, -8.10093299295e+001
+3.97246731000e+005, +4.49968604983e-011, +1.66050450191e-001, +8.78357464483e+003, -8.05720335917e+001
+4.30707832000e+005, +4.47693918380e-011, +1.75329296946e-001, +8.12983116203e+003, -8.00554488345e+001
+4.66987446000e+005, +4.45048930709e-011, +1.84891754122e-001, +7.53022677245e+003, -7.95247787637e+001
+5.06322984000e+005, +4.42448793787e-011, +1.95311068790e-001, +6.97268699380e+003, -7.89486219624e+001
+5.48971855000e+005, +4.39540853147e-011, +2.06908883331e-001, +6.45903955402e+003, -7.83099532803e+001
+5.95213149000e+005, +4.36471150071e-011, +2.19645366217e-001, +5.98357668573e+003, -7.76119638939e+001
+6.45349463000e+005, +4.33054195279e-011, +2.33335448415e-001, +5.54588517692e+003, -7.68658627656e+001
+6.99708887000e+005, +4.29283104525e-011, +2.48708649745e-001, +5.14192969720e+003, -7.60334142932e+001
+7.58647144000e+005, +4.25374585544e-011, +2.64375040393e-001, +4.76802316366e+003, -7.51912360790e+001
+8.22549919000e+005, +4.20748321698e-011, +2.81665923689e-001, +4.42646674584e+003, -7.42692807576e+001
+8.91835388000e+005, +4.15501181088e-011, +3.00585340425e-001, +4.11320065075e+003, -7.32699923435e+001
+9.66956947000e+005, +4.09810306863e-011, +3.20525017106e-001, +3.82467277169e+003, -7.22280454664e+001
+1.04840618600e+006, +4.03484728018e-011, +3.40541789259e-001, +3.56153688656e+003, -7.11941457748e+001
+1.13671610100e+006, +3.97007639002e-011, +3.61686009629e-001, +3.31644757547e+003, -7.01156515440e+001
+1.23246458500e+006, +3.90156197553e-011, +3.84046722920e-001, +3.08981417682e+003, -6.89908775959e+001
+1.33627820700e+006, +3.82201233814e-011, +4.04874841315e-001, +2.88847702343e+003, -6.79582133807e+001
+1.44883631300e+006, +3.76692454411e-011, +4.18959009121e-001, +2.68966163602e+003, -6.72683138749e+001
+1.57087547500e+006, +3.76502214829e-011, +4.36835780330e-001, +2.46596423825e+003, -6.64025729701e+001
+1.70319430500e+006, +3.70024551798e-011, +4.90955947070e-001, +2.26690280300e+003, -6.38509954861e+001
+1.84665868600e+006, +3.58939669554e-011, +5.39351949910e-001, +2.11332188741e+003, -6.16597091998e+001
+2.00220743700e+006, +3.43042218820e-011, +5.74028242147e-001, +2.00963849997e+003, -6.01429589440e+001
+2.17085845300e+006, +3.33950757762e-011, +6.02201679355e-001, +1.88067837611e+003, -5.89435784578e+001
+2.35371537300e+006, +3.24530410280e-011, +6.27973212420e-001, +1.76451288096e+003, -5.78722797632e+001
+2.55197479600e+006, +3.16116357646e-011, +6.53922882160e-001, +1.65116779591e+003, -5.68184088250e+001
+2.76693411400e+006, +3.14574255502e-011, +6.71686840520e-001, +1.51788897407e+003, -5.61112618259e+001
+3.00000000000e+006, +3.09272198229e-011, +6.97383545393e-001, +1.40701379798e+003, -5.51087154733e+001
END
